台帳番号,設置場所,設置位置,郵便番号,住所,24時間365日利用可能か,利用開始時間,利用終了時間,使用可能な曜日,使用可能日・使用可能時間帯の補足,使用対象者の範囲,緯度,経度,,,
107,くじ老人いこいの家,受付,213-0032,高津区久地3-16-1,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.60811458,139.6056771,,,
108,平老人いこいの家,1階下駄箱上,216-0022,宮前区平2-13-1,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.60187842,139.5748751,,,
109,有馬老人いこいの家,受付,216-0003,宮前区有馬4-5-2,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.57683011,139.5829341,,,
110,野川老人いこいの家,ロビー,216-0043,宮前区野川台1-25-23,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.57352803,139.6024916,,,
111,白幡台老人いこいの家,受付,216-0025,宮前区白幡台1-13-1,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.59779219,139.5679694,,,
112,鷲ケ峰老人いこいの家,受付,216-0014,宮前区菅生ケ丘32-10,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.59677119,139.5380296,,,
113,登戸老人いこいの家,受付,214-0013,多摩区登戸新町237,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.62375756,139.5634799,,,
114,菅老人いこいの家,受付,214-0008,多摩区菅北浦3-11-1,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.63109806,139.5314093,,,
115,錦ケ丘老人いこいの家,受付,214-0039,多摩区栗谷3-28-2,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.61300706,139.5355096,,,
116,長尾老人いこいの家,受付,214-0023,多摩区長尾1-12-7,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.61153817,139.5747475,,,
117,枡形老人いこいの家,受付,214-0032,多摩区枡形6-3-1,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.61406031,139.5609055,,,
118,中野島老人いこいの家,受付,214-0012,多摩区中野島6-26-7,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.63052014,139.5517904,,,
119,南菅老人いこいの家,受付,214-0004,多摩区菅馬場3-26-1,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.62287708,139.5332913,,,
120,王禅寺老人いこいの家,受付,215-0018,麻生区王禅寺東5-32-15,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.58156189,139.5126281,,,
121,片平老人いこいの家,受付,215-0023,麻生区片平5-25-1,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.59768364,139.4917303,,,
122,千代ケ丘老人いこいの家,受付,215-0005,麻生区千代ケ丘6-3-22,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.6154255,139.5104763,,,
123,白山老人いこいの家,受付,215-0014,麻生区白山4-2-2,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.59054794,139.5100411,,,
124,麻生老人いこいの家,受付,215-0021,麻生区上麻生4-32-2,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.59499828,139.5038416,,,
125,岡上老人いこいの家,受付,215-0027,麻生区岡上3-13-1,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.58113908,139.4834703,,,
126,かわさき老人福祉・地域交流センター,受付,210-0026,川崎区堤根34-15,365日24時間使用可ではない,午前９時,午後９時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.52545711,139.692172,,,
127,さいわい健康福祉プラザ,2階湯沸室前,212-0023,幸区戸手本町1-11-5,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.54385842,139.6868828,,,
128,中原老人福祉センター,受付,211-0035,中原区井田3-16-2,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.56340939,139.6369685,,,
129,高津老人福祉・地域交流センター,1階事務室内,213-0013,高津区末長3-24-4,365日24時間使用可ではない,午前９時,午後９時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.58848861,139.6182246,,,
130,宮前老人福祉センター,1階事務室内,216-0033,宮前区宮崎2-12-29,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.58656178,139.5913308,,,
131,多摩老人福祉センター,1階事務所内,214-0012,多摩区中野島5-2-30,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.63018,139.5612167,,,
132,麻生老人福祉センター,1階事務室内,215-0006,麻生区金程2-8-3,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.61086689,139.4990053,,,
133,百合丘老人いこいの家,受付,215-0011,麻生区百合丘2-8-2,365日24時間使用可ではない,午前９時,午後４時,平日・土曜日,"敬老の日は利用可能
年末年始12月29日〜1月3日は利用不可",外部の使用も認める,35.60283522,139.5154715,,,
134,中部リハビリテーションセンター体育館,受付カウンター上,211-0035,中原区井田3-16-1,365日24時間使用可ではない,9時00分,16時00分　(21時00分),"第２・第４
水曜以外",年末年始12/29〜1/3日は使用不可,外部の使用も認める,35.56343,139.63602,,,
135,中部地域支援室,2階事務室受付,211-0035,中原区井田3-16-1,365日24時間使用可ではない,8時30分,17時15分,平日,年末年始12/29〜1/3日は使用不可,外部の使用も認める,35.56263,139.63593,,,
136,南部地域療育センター,1階外来受付カウンター,210-0806,川崎区中島3-3-1,365日24時間使用可ではない,8時30分,17時00分,平日,,外部の使用も認める,35.52668525,139.714883,,,
137,中央療育センター（通所棟）,1階受付カウンター,211-0035,中原区井田3-16-1,365日24時間使用可ではない,8時30分,17時00分,平日及び第2･4土曜日,年末年始12月29日〜1月3日は使用不可,外部の使用も認める,35.56406381,139.6357038,,,
138,中央療育センター（入所棟）,1階玄関ホール,211-0035,中原区井田3-16-1,365日24時間使用可,-,-,-,,外部の使用も認める,35.56406586,139.6354521,,,
139,北部地域療育センター,1階職員室受付カウンター,215-0023,麻生区片平5-26-1,365日24時間使用可ではない,8時30分,17時00分,平日及び第1･3土曜日,年末年始12月29日〜1月3日は使用不可,外部の使用も認める,35.59745369,139.4922358,,,
140,総合リハビリテーション推進センター総務・判定課,2階総合リハビリテーション推進センター事務室カウンター,210-002４,川崎区日進町5-1 川崎市複合福祉センター　ふくふく２階,365日24時間使用可ではない,8時30分,17時15分,平日,,外部の使用も認める,35.526089,139.692953,,,
141,視覚障害者情報文化センター,3階事務室,210-0026,川崎区堤根34-15,365日24時間使用可ではない,9時,17時,火〜日,月曜・祝日・月曜日にあたる祝日の翌日・年末年始12月28日〜1月3日・図書整理期間は使用不可,外部の使用も認める,35.52538631,139.6921731,,,
142,聴覚障害者情報文化センター,2階事務室の近くの廊下,211-0037,川崎市中原区井田三舞町14-16,365日24時間使用可ではない,9時,21時,火〜日,"月曜・祝日・月曜日にあたる祝日の翌日・年末年始12月28日〜1月3日
",外部の使用も認める,35.56877225,139.6473417,,,
143,川崎休日急患診療所,2階診療所スペース,210-0011,川崎区富士見1-1-1,365日24時間使用可ではない,9時00分,16時00分,日・祝・年末年始,年末年始12/30-1/3の間は使用可能,外部の使用も認める,35.52942675,139.7073506,,,
144,幸休日急患診療所,1階診療所スペース,212-0005,幸区戸手2-12-12,365日24時間使用可ではない,9時00分,16時00分,日・祝・年末年始,年末年始12/30-1/3の間は使用可能,外部の使用も認める,35.54403256,139.692667,,,
145,中原休日急患診療所,2階診療所スペース,211-0063,中原区小杉町3-26-7 医師会館内,365日24時間使用可ではない,9時00分,16時00分,日・祝・年末年始,年末年始12/30-1/3の間は使用可能,外部の使用も認める,35.57590161,139.6547914,,,
146,高津休日急患診療所,1階診療所スペース,213-0001,高津区溝口5-15-5,365日24時間使用可ではない,9時00分,16時00分,日・祝・年末年始,年末年始12/30-1/3の間は使用可能,外部の使用も認める,35.60763225,139.6141511,,,
147,宮前休日急患診療所,1階診療所スペース,216-0002,宮前区東有馬2-13-3,365日24時間使用可ではない,9時00分,16時00分,日・祝・年末年始,年末年始12/30-1/3の間は使用可能,外部の使用も認める,35.57701744,139.59477,,,
148,多摩休日夜間急患診療所,1階診療所スペース,214-0014,多摩区登戸1775-1 多摩区総合庁舎内,365日24時間使用可ではない,9時00分,16時00分,日・祝・年末年始,夜間18：30-は毎日使用可能,外部の使用も認める,35.61950075,139.5621855,,,
149,麻生休日急患診療所,3階診療所スペース,215-0004,麻生区万福寺1-5-3,365日24時間使用可ではない,9時00分,16時00分,日・祝・年末年始,年末年始12/30-1/3の間は使用可能,外部の使用も認める,35.60482803,139.5056041,,,
150,かわさき健康づくりセンター,1階トレーニングルーム前,210-0844,川崎区渡田新町3-2-1,365日24時間使用可ではない,9時00分,20時30分,施設営業日,日・祝は16：30閉館。月曜休館（月が祝日の場合は開館）、年末年始（12/28-1/4）使用不可,外部の使用も認める,35.52092386,139.6959801,,,
151,かわさき健康づくりセンター,2階エレベーターホール,210-0844,川崎区渡田新町3-2-1,365日24時間使用可ではない,9時00分,20時30分,施設営業日,日・祝は16：30閉館。月曜休館（月が祝日の場合は開館）、年末年始（12/28-1/4）使用不可,外部の使用も認める,35.52092386,139.6959801,,,
152,かわさき南部斎苑,事務室,210-0863,川崎区夜光3-2-7,365日24時間使用可ではない,0時00分,0時00分,-,基本的に全日利用可能。ただし、休苑日前日の午後5時から翌日午前8時30分及び1月1日から3日の午前8時30分までを除く。,外部の使用も認める,35.51691236,139.7392812,,,
153,かわさき北部斎苑,事務室,213-0033,高津区下作延6-18-1,365日24時間使用可ではない,0時00分,0時00分,-,基本的に全日利用可能。ただし、休苑日前日の午後5時から翌日午前8時30分及び1月1日から3日の午前8時30分までを除く。,外部の使用も認める,35.607295,139.6001347,,,
154,川崎市立看護大学,1階守衛室,212-0054,幸区小倉4-30-1,365日24時間使用可ではない,6時30分,22時30分,年末年始12月29日〜1月3日以外であれば使用可能,年末年始及び上記の利用時間外の対応は不可,外部の使用も認める,35.53593,139.66986,,,
155,川崎市立看護大学大学院,事務室,210-0007,川崎区駅前本町11-2,365日24時間使用可ではない,8時30分,22時30分,日曜日、祝日及び年末年始12月29日〜1月3日以外であれば使用可能,日曜日、祝日、年末年始及び上記の利用時間外の対応は不可,外部の使用も認める,35.53172777,139.6993934,,,
156,川崎市動物愛護センター,1階事務室受付,211-0013,中原区上平間1700−8,365日24時間使用可ではない,8時30分,17時15分,日〜木,金土祝、年末年始は休館,外部の使用も認める,35.55618203,139.6741798,,,
157,青少年の家,1階受付,216-0033,宮前区宮崎105-1,365日24時間使用可ではない,9時00分,21時00分,平日・土日祝,年末年始12月29日〜1月3日は使用不可。指定休館日（7月8月を除く）,外部の使用も認める,35.58754333,139.598717,,,
158,黒川青少年野外活動センター,1階受付窓口,215-0035,麻生区黒川313-9,365日24時間使用可ではない,9時00分,16時30分,平日・土日祝,年末年始12月28日〜1月4日、休所日は使用不可。,外部の使用も認める,35.61095208,139.4701962,,,
159,子ども夢パーク,1階事務所,213-0033,高津区下作延5-30-1,365日24時間使用可ではない,9時00分,21時00分,平日・土日祝,年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.60532653,139.5972081,,,
160,旭町こども文化センター,1階事務室,210-0808,川崎区旭町2-1-5,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.53088186,139.7147449,,,
161,日進町こども文化センター,3階事務室,210-0026,川崎区堤根34-15ふれあいプラザかわさき3階,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.52542242,139.6921712,,,
162,渡田こども文化センター,事務室,210-0837,川崎区渡田1-15-5,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.52259847,139.7084779,,,
163,大師こども文化センター,2階事務室,210-0815,川崎区大師公園1-4,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.53247342,139.7334131,,,
164,藤崎こども文化センター,2階事務室,210-0804,川崎区藤崎4-17-6,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.52507783,139.7216732,,,
165,殿町こども文化センター,事務室,210-0821,川崎区殿町1-18-13,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.53848425,139.7461883,,,
166,田島こども文化センター,2階事務室,210-0853,川崎区田島町20-23,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.51572183,139.7116515,,,
167,浅田こども文化センター,事務室,210-0847,川崎区浅田3-7-10,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.50845231,139.7010542,,,
168,小田こども文化センター,2階事務室,210-0846,川崎区小田2-16-9,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.514395,139.7018571,,,
169,ふれあい館・桜本こども文化センター,1階事務室,210-0833,川崎区桜本1-5-6,365日24時間使用可ではない,9時30分,１８時・21時,平日と土日祝,平日は9：30〜21時使用可能　日祝は9：30〜18時使用可能　年末年始（12月29日〜1月3日使用不可）,外部の使用も認める,35.51898669,139.7210124,,,
170,南河原こども文化センター,1階事務室,212-0021,幸区都町74-2,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.53759903,139.6894711,,,
171,小倉こども文化センター,2階事務室,212-0054,幸区小倉5-17-59,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.53806106,139.6661108,,,
172,幸こども文化センター,2階事務室,212-0023,幸区戸手本町1-11-5,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.54385831,139.686789,,,
173,下平間こども文化センター,事務室,212-0053,幸区下平間70-1,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.55234317,139.6770757,,,
174,南加瀬こども文化センター,2階事務室,212-0055,幸区南加瀬2-19-3,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.54572664,139.6639033,,,
175,北加瀬こども文化センター,事務室,212-0057,幸区北加瀬2-12-12,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.55068594,139.6622488,,,
176,新丸子こども文化センター,事務室,211-0005,中原区新丸子町691-7,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.58190703,139.6618684,,,
177,住吉こども文化センター,事務室,211-0033,中原区木月祗園町17-6,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.56904447,139.652983,,,
178,井田こども文化センター,事務室,211-0036,中原区井田杉山町16-38,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.56859114,139.6413129,,,
179,平間こども文化センター,事務室,211-0013,中原区上平間1323,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.55828544,139.6778541,,,
180,玉川こども文化センター,事務室,211-0016,中原区市ノ坪464-2,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.56476983,139.6668466,,,
181,西加瀬こども文化センター,2階事務室,211-0024,中原区西加瀬10-5,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.56170431,139.6605988,,,
182,新城こども文化センター,2階事務室,211-0042,中原区下新城1-2-4,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.58024453,139.634192,,,
183,大戸こども文化センター,事務室,211-0053,中原区上小田中2-24-1,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.58671597,139.637201,,,
184,宮内こども文化センター,事務室,211-0051,中原区宮内3-4-3,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.590187,139.64542,,,
185,上作延こども文化センター,2階事務室,213-0034,高津区上作延5-26-55,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.596141,139.6001368,,,
186,高津こども文化センター,事務室,213-0001,高津区溝口3-10-8,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.60328158,139.6142939,,,
187,二子こども文化センター,事務室,213-0002,高津区二子5-14-61,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.60147086,139.6189273,,,
188,東高津こども文化センター,2階事務室,213-0006,高津区下野毛1-3-2,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.597443,139.6366487,,,
189,末長こども文化センター,2階事務室,213-0013,高津区末長3-25-8,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.58934344,139.6201765,,,
190,子母口こども文化センター,2階事務室,213-0023,高津区子母口983,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.56985008,139.6276714,,,
191,梶ケ谷こども文化センター,事務室,213-0015,高津区梶ケ谷6-1-10,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.58451294,139.6073636,,,
192,宮崎こども文化センター,事務室,216-0033,宮前区宮崎1-7,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.58491814,139.5925587,,,
193,有馬こども文化センター,2階事務室,216-0003,宮前区有馬4-5-2,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.57682886,139.5829887,,,
194,野川こども文化センター,2階事務室,216-0043,宮前区野川台1-25-23,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.57352672,139.6025393,,,
195,宮前平こども文化センター,事務室,216-0033,宮前区宮崎6-2,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.59181606,139.58433,,,
196,平こども文化センター,2階事務室,216-0022,宮前区平2-13-1,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.6018785,139.5749177,,,
197,白幡台こども文化センター,2階事務室,216-0025,宮前区白幡台1-13-1,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.59779208,139.5679268,,,
