台帳番号,設置場所,設置位置,郵便番号,住所,24時間365日利用可能か,利用開始時間,利用終了時間,使用可能な曜日,使用可能日・使用可能時間帯の補足,使用対象者の範囲,緯度,経度,,,
198,菅生こども文化センター,事務室,216-0014,宮前区菅生ケ丘13-2,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日・祝日,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.59786417,139.5446735,,,
199,蔵敷こども文化センター,事務室,216-0015,宮前区菅生5-3-21,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日・祝日,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.59492686,139.5560003,,,
200,枡形こども文化センター,2階事務室,214-0032,多摩区枡形6-3-1,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.61406181,139.5609499,,,
201,長尾こども文化センター,2階事務室,214-0023,多摩区長尾1-12-7,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.61153825,139.5747936,,,
202,錦ケ丘こども文化センター,2階事務室,214-0039,多摩区栗谷3-28-2,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.61300694,139.5354635,,,
203,三田こども文化センター,事務室,214-0034,多摩区三田3-7-4,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.60966167,139.5469886,,,
204,菅こども文化センター,2階事務室,214-0008,多摩区菅北浦3-11-1,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.63109794,139.5313649,,,
205,中野島こども文化センター,事務室,214-0012,多摩区中野島4-22-7,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.62834722,139.5593618,,,
206,南菅こども文化センター,2階事務室,214-0004,多摩区菅馬場3-26-1,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.62287697,139.5332521,,,
207,百合丘こども文化センター,1階事務室,215-0011,麻生区百合丘1-11-2,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.60606322,139.5172474,,,
208,東百合丘こども文化センター,事務室,215-0012,麻生区東百合丘3-1-10,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.59475653,139.5228421,,,
209,千代ケ丘こども文化センター,事務室,215-0005,麻生区千代ケ丘1-20-60,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.60949867,139.5064574,,,
210,王禅寺こども文化センター,2階事務室,215-0018,麻生区王禅寺東5-32-15,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.58156178,139.5125829,,,
211,虹ケ丘こども文化センター,事務室,215-0015,麻生区虹ケ丘1-22-1,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.58004636,139.5203265,,,
212,柿生こども文化センター,事務室,215-0021,麻生区上麻生7-18-32,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.58083275,139.5016468,,,
213,白山こども文化センター,2階事務室,215-0014,麻生区白山4-2-2,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.59054642,139.5099925,,,
214,麻生こども文化センター,2階事務室,215-0021,麻生区上麻生4-32-2,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.59499953,139.5037896,,,
215,片平こども文化センター,2階事務室,215-0023,麻生区片平5-25-1,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日・祝日,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.59764894,139.4917305,,,
216,岡上こども文化センター,2階事務室,215-0027,麻生区岡上3-13-3,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日・祝日,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.58117236,139.4834702,,,
217,小杉こども文化センター,事務室,211-0063,中原区小杉町3-600コスギサードアベニュー３階,365日24時間使用可ではない,9時30分,１８時・21時,平日・土日祝,平日・土曜日は21時まで、日曜・祝日は18時まで利用可。年末年始12月29日〜1月3日は使用不可。,外部の使用も認める,35.57585,139.65846,,,
218,川崎区保育・子育て総合支援センター,1階保育園側エントランス（事務室前）,210-0834,川崎区大島4-17-2,365日24時間使用可ではない,7時,(平日)20時,日祝日を除く,土曜日は18：30まで利用可,外部の使用も認める,35.52362,139.71482,,,
219,東小田保育園,玄関,210-0846,川崎区小田5-14-1,365日24時間使用可ではない,7時,(平日)20時,日祝日を除く,土曜日は18：30まで利用可,外部の使用も認める,35.51154131,139.706937,,,
220,藤崎保育園,1階事務室前,210-0804,川崎区藤崎1-7-1,365日24時間使用可ではない,7時,(平日)20時,日祝日を除く,土曜日は18：30まで利用可,外部の使用も認める,35.53069475,139.7192976,,,
221,古川保育園,事務室入口,212-0025,幸区古川町120番地,365日24時間使用可ではない,7時,(平日)20時,日祝日を除く,土曜日は18：30まで利用可,外部の使用も認める,35.54452364,139.6837907,,,
222,幸区河原町1(仮設園舎),1階玄関,212-0007,幸区河原町1,365日24時間使用可ではない,7時,(平日)20時,日祝日を除く,土曜日は18：30まで利用可,外部の使用も認める,35.54092236,139.6928339,,,
223,夢見ヶ崎保育園,1階事務室内,212-0055,幸区南加瀬3-4-8,365日24時間使用可ではない,7時,(平日)20時,日祝日を除く,土曜日は18：30まで利用可,外部の使用も認める,35.54509594,139.6647931,,,
224,中丸子保育園,玄関乳児入口横,211-0012,中原区中丸子1155,365日24時間使用可ではない,7時,(平日)20時,日祝日を除く,土曜日は18：30まで利用可,外部の使用も認める,35.57117644,139.6716185,,,
225,中原区保育・子育て総合支援センター,1階事務室前,211-0062,中原区小杉陣屋町２−３−１,365日24時間使用可ではない,7時,(平日)20時,日祝日を除く,土曜日は18：30まで利用可,外部の使用も認める,35.58255822,139.655909,,,
226,下小田中保育園,1階事務室前,211-0041,中原区下小田中4-4-17,365日24時間使用可ではない,7時,(平日)20時,日祝日を除く,土曜日は18：30まで利用可,外部の使用も認める,35.57745456,139.6389943,,,
227,蟹ケ谷保育園,玄関,213-0025,高津区蟹ケ谷339,365日24時間使用可ではない,7時,(平日)20時,日祝日を除く,土曜日は18：30まで利用可,外部の使用も認める,35.56772081,139.6330953,,,
228,津田山保育園,1階事務室内,213-0033,高津区下作延5-1-10,365日24時間使用可ではない,7時,(平日)20時,日祝日を除く,土曜日は18：30まで利用可,外部の使用も認める,35.60249358,139.6020894,,,
229,梶ケ谷保育園,玄関,213-0015,高津区梶ケ谷5-8-2,365日24時間使用可ではない,7時,(平日)20時,日祝日を除く,土曜日は18：30まで利用可,外部の使用も認める,35.58322047,139.6062832,,,
230,菅生保育園,事務室脇,216-0026,宮前区初山1-23-15,365日24時間使用可ではない,7時,(平日)20時,日祝日を除く,土曜日は18：30まで利用可,外部の使用も認める,35.59678256,139.5611773,,,
231,中有馬保育園,玄関,216-0003,宮前区有馬3-2-10,365日24時間使用可ではない,7時,(平日)20時,日祝日を除く,土曜日は18：30まで利用可,外部の使用も認める,35.57766553,139.5853156,,,
232,宮前区保育・子育て総合支援センター,玄関,216-0005,宮前区土橋2-14-1,365日24時間使用可ではない,7時,(平日)20時,日祝日を除く,土曜日は18：30まで利用可,外部の使用も認める,35.58587343,139.5734859,,,
233,生田保育園,事務室入口脇,214-0037,多摩区西生田3-15-10,365日24時間使用可ではない,7時,(平日)20時,日祝日を除く,土曜日は18：30まで利用可,外部の使用も認める,35.61197964,139.5287423,,,
234,菅保育園,事務室前廊下,214-0001,多摩区菅1-5-24,365日24時間使用可ではない,7時,(平日)20時,日祝日を除く,土曜日は18：30まで利用可,外部の使用も認める,35.63260947,139.5362669,,,
235,多摩区保育子育て・総合支援センター土渕保育園,玄関,214-0038,多摩区生田2-14-5,365日24時間使用可ではない,7時,(平日)20時,日祝日を除く,土曜日は18：30まで利用可,外部の使用も認める,35.62301733,139.549055,,,
236,上麻生保育園,玄関,215-0021,麻生区上麻生7-2-35,365日24時間使用可ではない,7時,(平日)20時,日祝日を除く,土曜日は18：30まで利用可,外部の使用も認める,35.58269036,139.4980828,,,
237,高石保育園,1階廊下（非常ベル上）,215-0003,麻生区高石1-14-15,365日24時間使用可ではない,7時,(平日)20時,日祝日を除く,土曜日は18：30まで利用可,外部の使用も認める,35.61021525,139.5142237,,,
238,白山保育園,事務室斜め前の階段の正面,215-0014,麻生区白山4-2-1,365日24時間使用可ではない,7時,(平日)20時,日祝日を除く,土曜日は18：30まで利用可,外部の使用も認める,35.59009983,139.5101679,,,
239,中部児童相談所,事務室入口,213-0011,高津区久本１丁目４番１号,365日24時間使用可ではない,8時30分,17時15分,開庁曜日・時間のみ,閉庁時間は使用不可,外部の使用も認める,35.59762094,139.6100195,,,
240,生田緑地ばら苑,管理事務所,214-0023,多摩区長尾2-8-1,365日24時間使用可ではない,10時00分,16時30分,下記の通り,バラ苑開催期間中のみ（開催中は休苑日なし）,外部の使用も認める,35.60839042,139.5686775,,,
241,川崎富士見球技場,バックスタンド1階,210-0011,川崎区富士見2丁目,365日24時間使用可ではない,9時00分,22時00分,月〜日,年末年始（12月29日〜1月４日）は使用不可,外部の使用も認める,35.52681544,139.7092189,,,
242,川崎国際生田緑地ゴルフ場,コース売店横,214-0032,多摩区枡形7-1-10,365日24時間使用可ではない,8時00分,16時00分,月〜日,元日は使用不可,外部の使用も認める,35.60752617,139.5554596,,,
243,川崎国際生田緑地ゴルフ場,クラブハウス内,214-0032,多摩区枡形7-1-10,365日24時間使用可ではない,7時00分,17時00分,月〜日,元日は使用不可,外部の使用も認める,35.60752617,139.5554596,,,
244,生田緑地整備事務所,1階事務室内,214-0032,多摩区枡形6-26-1,365日24時間使用可ではない,8時30分,17時00分,下記の通り,年末年始は使用不可,外部の使用も認める,35.60958394,139.5581422,,,
245,生田緑地東口ビジターセンター,生田緑地ビジターセンター事務所入口脇,214-0032,多摩区枡形7-1-4,365日24時間使用可ではない,8時30分,17時00分,下記の通り,年末年始は使用不可,外部の使用も認める,35.6098325,139.5625084,,,
246,早野聖地公園,管理事務所内,215-0016,麻生区早野732,365日24時間使用可ではない,8時30分,17時30分,下記の通り,年末年始(12月29日〜1月3日)は使用不可,外部の使用も認める,35.57250808,139.5192074,,,
247,緑ヶ丘霊園,管理事務所内,213-0033,高津区下作延1241,365日24時間使用可ではない,8時30分,17時30分,下記の通り,年末年始(12月29日〜1月3日)は使用不可,外部の使用も認める,35.60232689,139.5989498,,,
248,夢見ヶ崎動物公園,事務所棟,212-0055,幸区南加瀬1-2-1,365日24時間使用可ではない,8時30分,17時15分,,,外部の使用も認める,35.54921658,139.6650852,,,
249,武蔵小杉駅周辺自転車等駐車場第5施設,管理室横,211-0004,中原区新丸子東3丁目 地下,365日24時間使用可ではない,4時30分,1時30分,毎日,,外部の使用も認める,35.57586061,139.6600306,,,
250,登戸駅周辺自転車等駐車場第5施設,管理室横,214-0014,多摩区登戸3422-4,365日24時間使用可,-,-,-,,外部の使用も認める,35.62126414,139.5690908,,,
251,多摩川緑地パークボール場,管理事務所,213-0031,高津区宇奈根・久地地内,365日24時間使用可ではない,11月から3月　9:00,11月から3月　16:00,休場日（月曜）以外,4月〜10月は8:00〜17：00まで利用可,外部の使用も認める,35.61454181,139.6058782,,,
252,多摩川緑地バーベキュー広場,管理事務所,213-0003,高津区瀬田地先,365日24時間使用可,-,-,-,24時間体制で警備員を配置しているため、施設の利用時間外は警備員が対応,外部の使用も認める,35.60805153,139.6242057,,,
253,大師河原水防センター,館内・受付,210-0811,川崎区大師河原1-1-15,365日24時間使用可ではない,10時00分,16時00分,休館日（月、火、金曜、年末年始）以外,,外部の使用も認める,35.53998586,139.7369238,,,
254,二ヶ領せせらぎ館,館内・受付,214-0021,多摩区宿河原1-5-1,365日24時間使用可ではない,"５月から８月の土・日・祝日は　９：００から、それ以外は１０：００から
",16時00分,休館日（月、第１・３水曜、年末年始）以外,,外部の使用も認める,35.62052192,139.5750988,,,
255,緑化センター,1階事務室内,214-0021,多摩区宿河原6-14-1,365日24時間使用可ではない,9時00分,16時00分,月以外,年末年始（12月29日〜1月3日）は使用不可,施設利用者・職員のみ,35.613,139.58432,,,
256,川崎駅東口周辺自転車等駐車場第2施設,管理室内,210-0024,川崎区日進町28番3,365日24時間使用可ではない,6時30分,20時00分,月曜〜土曜日,,外部の使用も認める,35.529486,139.697649,,,
257,川崎駅東口周辺自転車等駐車場第8施設,管理室内,210-0004,川崎区宮本町2番3,365日24時間使用可ではない,6時30分,20時00分,月曜〜日曜日,,外部の使用も認める,35.5317321,139.7028004,,,
258,川崎駅東口周辺自転車等駐車場第11施設,管理室内,210-0024,川崎区日進町28番1,365日24時間使用可ではない,6時30分,20時00分,月曜〜土曜日,,外部の使用も認める,35.52812176,139.6963623,,,
259,川崎駅西口周辺自転車等駐車場第2施設,管理室内,212-0014,幸区大宮町6番19,365日24時間使用可ではない,6時30分,20時00分,月曜〜土曜日,,外部の使用も認める,35.53107213,139.6935106,,,
260,新川崎駅周辺自転車等駐車場第6施設,管理室内,212-0058,幸区鹿島田1丁目4番26号,365日24時間使用可ではない,6時30分,20時00分,月曜〜土曜日,,外部の使用も認める,35.55098157,139.6725944,,,
261,武蔵溝ノ口駅南口周辺自転車等駐車場第４施設,地下管理室横,213-0011,高津区久本1丁目4番19号,365日24時間使用可ではない,4時30分,1時30分,,,外部の使用も認める,35.59884718,139.6099314,,,
262,富士見公園アメニティ施設,アメニティ施設内,210-0011,川崎区富士見2丁目,365日24時間使用可ではない,8時00分,21時00分,月〜日,年末年始（12月29日〜1月４日）は使用不可,外部の使用も認める,35.52756896,139.711814,,,
263,富士見公園パークセンター,パークセンター内,210-0011,川崎区富士見2丁目,365日24時間使用可ではない,9時00分,22時00分,月〜日,年末年始（12月29日〜1月４日）は使用不可,外部の使用も認める,35.527868,139.709012,,,
264,港湾振興会館（川崎マリエン),港湾振興会館交流棟1階,210-0869,川崎区東扇島38-1,365日24時間使用可,-,-,-,"指定管理者あて連絡
287-6006、287-6013
（閉館時は守衛に声掛け必須）",外部の使用も認める,35.49680617,139.7635863,,,
265,港湾振興会館（川崎マリエン）,港湾振興会館業務棟1階,210-0869,川崎区東扇島３８−１,365日24時間使用可,-,-,-,"指定管理者あて連絡
287-6006、287-6013
（閉館時は守衛に声掛け必須）",外部の使用も認める,35.49680617,139.7635863,,,
266,東扇島東公園,東公園管理事務所,210-0869,川崎区東扇島58-1,365日24時間使用可ではない,8時30分,18時00分,-,年末年始（１２月２９日〜１月３日）以外の管理事務所開所時間に使用可能,外部の使用も認める,35.50321114,139.769709,,,
267,川崎区役所,1階ロビー,210-8570,川崎区東田町8,365日24時間使用可,-,-,-,閉庁時は、守衛室に声かけ,外部の使用も認める,35.52968992,139.7039305,,,
268,東海道かわさき宿交流館,4階事務室,210-0001,川崎区本町1-8-4,365日24時間使用可ではない,8時30分,21時00分,年末年始以外対応可能,年末年始（12月29日〜1月3日）は使用不可,外部の使用も認める,35.53236933,139.7029979,,,
269,カルッツかわさき,1階総合受付,210-0011,川崎区富士見1-1-4,365日24時間使用可ではない,9時00分,21時30分,休館日以外,,外部の使用も認める,35.52967481,139.7088019,,,
270,カルッツかわさき,地下1階スポーツ棟受付,210-0011,川崎区富士見1-1-4,365日24時間使用可ではない,9時00分,21時30分,休館日以外,,外部の使用も認める,35.52967481,139.7088019,,,
271,カルッツかわさき,１階ホール側舞台　事務所内,210-0011,川崎区富士見1-1-4,365日24時間使用可ではない,9時00分,21時30分,休館日以外,,外部の使用も認める,35.52967481,139.7088019,,,
272,カルッツかわさき,４階弓道場自販機横,210-0011,川崎区富士見1-1-4,365日24時間使用可ではない,9時00分,21時30分,休館日以外,,外部の使用も認める,35.52967481,139.7088019,,,
273,カルッツかわさき,１F総合受付,210-0011,川崎市川崎区富士見1−1−4,365日24時間使用可ではない,9時00分,21時30分,休館日以外,,外部の使用も認める,35.52967481,139.7088019,,,
274,カルッツかわさき,B1F受付,210-0011,川崎市川崎区富士見1−1−4,365日24時間使用可ではない,9時00分,21時30分,休館日以外,,外部の使用も認める,35.52967481,139.7088019,,,
275,教育文化会館,1階受付前,210-0011,川崎区富士見2-1-3,365日24時間使用可ではない,8時30分,21時30分,下記以外,休館日（第3月曜日（祝日の場合は翌営業日））、年末年始（12月29日から1月3日）は使用不可,外部の使用も認める,35.52879233,139.7077861,,,
276,教育文化会館大師分館,2階事務室前,210-0802,川崎区大師駅前1-1-5,365日24時間使用可ではない,8時30分,21時00分,下記以外,休館日（第3月曜日（祝日の場合は翌営業日））、年末年始（12月29日から1月3日）は使用不可,外部の使用も認める,35.53421719,139.7253045,,,
277,教育文化会館田島分館,4階ロビー,210-0835,川崎区追分町16-1 カルナーザ川崎4階,365日24時間使用可ではない,8時30分,21時00分,下記以外,休館日（第3月曜日（祝日の場合は翌営業日））、年末年始（12月29日から1月3日）は使用不可,外部の使用も認める,35.51905231,139.7165599,,,
278,川崎区役所大師支所仮庁舎,1階ホール,210-0814,川崎区台町26-7,365日24時間使用可ではない,8時30分,17時00分,月〜金,祝日、休日、年末年始（12月29日から1月3日まで）は除く。,外部の使用も認める,35.5319709,139.7339802,,,
279,川崎区役所田島支所仮庁舎,１階総合案内,210-0853,川崎区田島町20-23,365日24時間使用可ではない,8時30分,17時00分,月〜金,祝日、休日、年末年始（12月29日から1月3日まで）は除く。,外部の使用も認める,35.5157157,139.7115388,,,
280,川崎駅中央通路,中央監視室,210-0007,川崎区駅前本町,365日24時間使用可,-,-,-,,外部の使用も認める,35.53122906,139.6962914,,,
281,川崎駅中央通路,北口監視室,210-0007,川崎区駅前本町,365日24時間使用可,-,-,-,,外部の使用も認める,35.53122906,139.6962914,,,
282,大師公園,管理事務所,210-0815,川崎区大師公園1,365日24時間使用可ではない,8時30分,20時30分,-,野球場利用時間内（時期により変更あり）,外部の使用も認める,35.53142339,139.730219,,,
283,川崎区役所道路公園センター,１階受付,210-0834,川崎区大島1-25-10,365日24時間使用可ではない,8時30分,17時15分,平日,,外部の使用も認める,35.52605,139.71277,,,
284,桜川球場,事務所,210-0833,川崎区桜本1-14-3,365日24時間使用可ではない,8時00分,18時00分,-,野球場利用時間内（時期により変更あり）,外部の使用も認める,35.51904667,139.7225725,,,
285,小田球場,事務所,210-0846,川崎区小田4-20-38,365日24時間使用可,-,-,-,,外部の使用も認める,35.50942989,139.6986489,,,
286,池上新田球場,事務所,210-0864,川崎区池上町1-3,365日24時間使用可ではない,8時00分,18時00分,-,野球場利用時間内（時期により変更あり）,外部の使用も認める,35.52072519,139.7316372,,,
287,幸区役所,1階総合案内,212-8570,幸区戸手本町1-11-1,365日24時間使用可,-,-,-,,外部の使用も認める,35.54445,139.68688,,,
288,幸スポーツセンター,1階受付,212-0023,幸区戸手本町1-11-3,365日24時間使用可ではない,9時00分,21時30分,毎月第4月曜と年末年始以外,,外部の使用も認める,35.54476392,139.6864727,,,
289,石川記念武道館,1階事務室,212-0053,幸区下平間357,365日24時間使用可ではない,9時00分,21時30分,毎月第4月曜と年末年始以外,,外部の使用も認める,35.54868167,139.6859737,,,
290,日吉合同庁舎,1階正面玄関脇,212-0055,幸区南加瀬1-7-17,365日24時間使用可ではない,8時30分,"21時、
日吉分館の休館日は17時",12月29日〜1月3日を除く。,,外部の使用も認める,35.54661636,139.6684158,,,
291,日吉合同庁舎,３階和室入口脇,212-0055,幸区南加瀬1-7-17,365日24時間使用可ではない,8時30分,"21時、
日吉分館の休館日は17時",12月29日〜1月3日を除く。,,外部の使用も認める,35.54661636,139.6684158,,,
292,幸市民館,2階廊下,212-0023,幸区戸手本町1-11-2,365日24時間使用可ではない,8時30分,21時00分,休館日及び年末年始以外は使用可能,,外部の使用も認める,35.54423808,139.6875913,,,
293,御幸球場,事務所,212-0051 ,幸区東古市場1,365日24時間使用可ではない,"4月から10月　6:00
11月から3月　8:00","3月から11月　20:30
12月から2月　16：00","第2,第4水曜日以外",,外部の使用も認める,35.55261356,139.6930904,,,
294,小倉西公園（児童プール）,プール管理棟,212-0054,幸区小倉5-17-59,365日24時間使用可ではない,9時00分,17時00分,プール期間中は全日。,,外部の使用も認める,35.53809853,139.6661108,,,
295,幸区役所道路公園センター,２階廊下,211-0053,幸区下平間357-3,365日24時間使用可ではない,8時30分,17時15分,開庁時,,外部の使用も認める,35.54848972,139.68589,,,
296,中原区役所,本館1階守衛室前,211-0063,中原区小杉町3-245,365日24時間使用可,-,-,-,守衛室で対応,外部の使用も認める,35.57637783,139.6559496,,,
297,中原区役所,別館3階衛生課,211-0063,中原区小杉町3-245,365日24時間使用可ではない,8時30分,17時15分,平日,守衛室で対応,外部の使用も認める,35.57637783,139.6559496,,,
298,とどろきアリーナ,2階トレーニング室内・入口付近,211-0052,中原区等々力1-3,365日24時間使用可ではない,9時00分,21時30分,開館日,,外部の使用も認める,35.58721008,139.647231,,,
299,とどろきアリーナ,1階ロビー,211-0052,中原区等々力1-3,365日24時間使用可ではない,9時00分,21時30分,開館日,,外部の使用も認める,35.58721008,139.647231,,,
300,中原市民館,"1階事務室
受付付近",211-0004,中原区新丸子東3-1100-12,365日24時間使用可ではない,8時30分,21時00分,月〜日,第３月曜日（国民の休日の場合は翌日）、12/29〜1/3は使用不可,外部の使用も認める,35.57460483,139.6605021,,,
301,等々力テニスコート,管理棟入口脇,211-0052,中原区等々力1-1,365日24時間使用可ではない,9時00分,20時30分,年末年始29日〜4日使用不可,,外部の使用も認める,35.58460367,139.6505966,,,
